Type,Start Time,End Time,CPU Time (s),CPU %,Memory (MB)
CPU Burst,1754117963.9182694,1754117964.0208523,0.0,4.8,137.140625
CPU Burst,1754117964.4317873,1754117964.633921,0.010000000000001563,3.3,137.140625
CPU Burst,1754117964.9442754,1754117965.0450823,0.0,2.4,137.140625
CPU Burst,1754117965.248499,1754117965.4549649,0.010000000000001563,4.9,137.140625
CPU Burst,1754117965.5556142,1754117965.6598015,0.0,4.9,137.140625
CPU Burst,1754117965.7652965,1754117965.8658142,0.0,4.9,137.140625
CPU Burst,1754117966.0695148,1754117966.1722283,0.0,3.3,137.140625
CPU Burst,1754117966.27396,1754117966.381092,0.0,4.8,137.140625
CPU Burst,1754117966.690902,1754117966.793002,0.0,4.9,137.140625
CPU Burst,1754117967.2123656,1754117967.3181002,0.0,3.8,137.140625
CPU Burst,1754117967.6250865,1754117967.726482,0.0,2.4,137.140625
CPU Burst,1754117968.04336,1754117968.1499565,0.0,2.4,137.140625
CPU Burst,1754117968.4664562,1754117968.57107,0.0,2.4,137.140625
CPU Burst,1754117968.9796474,1754117969.0804667,0.0,2.0,137.140625
CPU Burst,1754117969.1833808,1754117969.286977,0.0,4.8,137.140625
CPU Burst,1754117969.3878698,1754117969.5910554,0.010000000000001563,6.6,137.140625
CPU Burst,1754117969.9974575,1754117970.0989778,0.0,2.0,137.140625
CPU Burst,1754117970.6064188,1754117970.7074358,0.0,1.6,137.140625
CPU Burst,1754117970.808567,1754117970.9118388,0.0,4.9,137.140625
CPU Burst,1754117971.1181006,1754117971.220782,0.0,3.2,137.140625
CPU Burst,1754117971.3214245,1754117971.4231381,0.0,4.9,137.140625
CPU Burst,1754117972.162946,1754117972.2637594,0.0,1.2,137.140625
CPU Burst,1754117972.5671606,1754117972.9739494,0.030000000000001137,5.6,137.140625
CPU Burst,1754117973.077416,1754117973.489544,0.030000000000001137,7.8,137.140625
CPU Burst,1754117973.5919757,1754117973.6929243,0.0,4.9,137.140625
CPU Burst,1754117973.7948453,1754117974.0986469,0.019999999999999574,7.4,137.140625
CPU Burst,1754117974.302362,1754117974.4174476,0.0,3.1,137.140625
CPU Burst,1754117974.6241398,1754117974.727535,0.0,6.5,137.140625
CPU Burst,1754117975.0346844,1754117975.2375617,0.010000000000001563,3.9,137.140625
CPU Burst,1754117975.3413725,1754117975.5430713,0.00999999999999801,6.5,137.140625
CPU Burst,1754117975.8493543,1754117976.1548405,0.030000000000001137,8.2,137.140625
CPU Burst,1754117976.362993,1754117976.4687548,0.0,3.2,137.140625
CPU Burst,1754117976.5699565,1754117976.6714919,0.0,9.9,137.140625
CPU Burst,1754117976.875963,1754117977.0829022,0.010000000000001563,4.9,137.140625
CPU Burst,1754117977.4068222,1754117977.7212734,0.019999999999999574,6.3,137.140625
CPU Burst,1754117977.822185,1754117978.0242639,0.00999999999999801,6.6,137.140625
CPU Burst,1754117978.1270804,1754117978.242295,0.0,4.6,137.140625
CPU Burst,1754117978.3444238,1754117978.444966,0.0,4.9,137.140625
